date,star_count,comment
03.11.2021,5.0,Недостатки: Все просят сфоткать.
26.10.2021,5.0,"Достоинства: Самый лучший во всех смыслах. Комментарий: Комментарий:Огромное спасибо разработчикам этого уникального
          телефона! Честно, всем советую, ребята! Живете один раз в этой жизни,
          лучше прожить эту жизнь в ярких впечатлениях!"
20.10.2021,5.0,"Достоинства: Мощный процессор, быстрая зарядка, ну Айфон есть
          Айфон! Недостатки: Нет ничего нового в глобальном плане. Как был
          Айфон, так и остался Айфоном! Комментарий: Комментарий:Перешёл на эту модель с Айфон 6 и 6+, до них был
          Айфон 5, тот самый прародитель Айфона 12 и 13. После этих стареньких
          Айфонов могу сказать, что процессор Айфона 13 мощнейший, можно сказать
          летает, на отклик реагирует моментально. Любые приложения, если
          скачивать с wi-fi, скачиваются за секунду. Приятный звук клавиатуры, и
          вообще тактильные отклики. По размеру скажу так - оптимальный баланс
          именно этого размера, и не большой (как 6 плюс), и не маленький (как
          6). Айфон 13 по размерам совсем не лопата, как многие другие
          смартфоны. В принципе, одной рукой управлять можно! Качество фото и
          видео камеры на высочайшем уровне! Да, в комплекте идёт только
          зарядный шнур, все остальное надо докупать. Мой совет - если вы хотите
          перейти на эту модель с 6 или 7 Айфона, то самое то (как никак, думаю,
          эти модели уже устарели)! Если уже у вас модель Х и новее, то, думаю,
          лучше оставить их. Особой разницы нет! Всем приятных покупок и
          наслаждений от этих покупок!"
18.02.2022,3.0,"Достоинства: Быстродействие, закрытая ОС, камеры хорошие,
          дисплей неплохой. Недостатки: Недостатков много, если у Вас прошлый телефон был
          из линейки айфонов, то улучшения будут по всем фронтам, но если Вы
          пользовались андроидом (в моем случае Самсунг А8 2018 года), то экран
          Вас расстроит, он не такой контрастный. Четкость экрана лучше у моего
          Самсунга.Дополнительно тратиться на зарядку для айфона, которая стоит 12
          тысяч.В общем, цена за данный аппарат неоправданно высока, потолок цены это
          300 тысяч, но тут переплата за бренд.Если есть возможность у знакомых взять айфон, посидите в нем часик,
          перед тем, как покупать, я купил и мне не понравилось, по этому сразу
          попытался вернуть телефон в Sulpak, но мне сказали, что я активировал
          и вернуть не получится, что печально, ведь сами Apple берут обратно
          свои телефоны, даже активированные.Еще 1 огромный минус, если у Вас дома медленный интернет, готовьтесь
          сталкиваться с прогружанием картинок в ВК, пока вы их не откроете? они
          будут мыльными, после открытия и приближения они будут догружаться, на
          андроиде у меня сразу в максимальном качестве прогружалась картинка,
          еще балл в копилку андроида. Комментарий: Комментарий:Можно задать резонный вопрос, а зачем я взял себе
          айфон? Хотелось проверить или опровергнуть миф про божественность
          айфона, а не полагаться на чужие тесты и взгляды. Никуда не деться,
          телефон более чем отличен, но никакого вау-эффекта не было, обычный
          телефон с миллионами плюшек, которыми никогда в жизни пользоваться не
          буду) Настоятельно советую перед покупкой просто походить и полазить в
          телефоне друзей и посмотреть, нормально или нет. Насыщенность картинки
          в Самсунгах куда лучше. Если будет возможность, возьму себе S22."
11.11.2021,4.0,"Недостатки: Ничего особенного. Вокруг камеры круги, которые не
          уходят, не понимаю в чем дело."
08.12.2021,5.0,Достоинства: Телефон кайф! Недостатки: Слишком дорогой. 250-300к норм цена была бы.
01.04.2022,1.0,"Достоинства: Значок яблока. Недостатки: Телефон весь недостаток, слишком завышена цена. Комментарий: Комментарий:Лучше бы взял машину и таксовал, заработал бы
          денег. А тут два года платить, наоборот в минус ухожу."
10.11.2021,5.0,"Достоинства: Отличный аппарат! Недостатки: Обидно то, что цена упала на следующий день! Комментарий: Комментарий:Берите синий цвет, на черном пыль и так далее,
          все видно заметно."
19.10.2021,5.0,"Достоинства: Удобный, хороший телефон, советую)"
09.12.2021,5.0,"Достоинства: После iPhone XR шустрее. Телефон оригинал. Недостатки: Батарейка не прям держит, как и предыдущий
          телефон. Комментарий: Комментарий:Телефон заказала у Рудашоп, отправили сразу,
          товар пришёл раньше на 3 дня. Курьер два дня не мог до меня
          дозвонится, было воскресенье, я доставку не ждала. На следующий день
          не позвонив заранее он приехал на работу и уехал не дождавшись меня,
          на третий день заблаговременно позвонив, мол, я еду к вам на работу, я
          стала его ждать). Как только он подъехал к моей работе его стукнула
          другая машина, ДТП, виновник пытался скрыться). Но все таки я телефон
          получила! Доставка огонь, по магазину претензий нет, телефон
          опломбирован, дефектов не было. И кто будет брать чёрный цвет,
          готовьтесь, он не чёрный, а синий."
