"Отметка времени","Где вы живете? ","Ваш род занятий? ","Как вы предпочитаете искать соседа? ","Насколько эффективно, на ваш взгляд, тематические платформы решают проблему поиска сожителя? (Оцените от 1 до 5)","Живете ли вы один/одна или с кем-то? ","Насколько для вас важна возможность выбрать соседа/соседку с похожими интересами? (Оцените от 1 до 5)","Как часто вам приходится менять жилье? ","Насколько легко вам было найти соседей или соседку, если вы живете с кем-то?  (Оцените от 1 до 5)","Что вы считаете самым трудным при поиске нового жилья или соседа?","Интересен ли вам сервис, который поможет подобрать жилье и соседа по вашим предпочтениям?  (Оцените от 1 до 5)"
"2024/11/04 11:05:36 AM GMT+5","Квартира","Студент","Через друзей","5","С другом/подругой","5","Каждые полгода","4","Найти надежных людей","5"
"2024/11/04 11:09:18 AM GMT+5","Собственный дом","Студент","Через друзей","3","Один(а)","1","Очень часто","1","Найти надежных людей","2"
"2024/11/04 11:10:23 AM GMT+5","Квартира","Студент","Через социальные сети","4","С семьей","1","Каждые полгода","3","Найти жилье по удобной цене","4"
"2024/11/04 11:17:20 AM GMT+5","Аренда","Студент","Через друзей","3","С семьей","4","Реже одного раза в год","1","Найти жилье по удобной цене","4"
"2024/11/04 11:18:59 AM GMT+5","Квартира","Студент","Через специализированные сайты","2","С семьей","2","Каждый год","4","Найти место, где есть обширный выбор услуг","2"
"2024/11/04 11:20:10 AM GMT+5","Аренда","Студент","Через друзей","2","С другом/подругой","4","Каждый год","2","Найти жилье по удобной цене","4"
"2024/11/04 11:20:32 AM GMT+5","Собственный дом","Студент","Через друзей","4","Один(а)","5","Каждый год","2","Найти место, где есть обширный выбор услуг","3"
"2024/11/04 11:21:23 AM GMT+5","Аренда","Студент","Через друзей","3","С другом/подругой","3","Каждые полгода","2","Найти жилье по удобной цене","3"
"2024/11/04 11:21:50 AM GMT+5","Собственный дом","Студент","Через социальные сети","4","С семьей","4","Очень часто","4","Найти жилье по удобной цене","1"
"2024/11/04 11:21:53 AM GMT+5","Собственный дом","Студент","Через социальные сети","4","С семьей","4","Очень часто","4","Найти жилье по удобной цене","1"
"2024/11/04 11:25:33 AM GMT+5","Собственный дом","Студент","Через друзей","4","С семьей","5","Реже одного раза в год","3","Найти жилье по удобной цене","5"
"2024/11/04 11:31:24 AM GMT+5","Квартира","Студент","Через друзей","5","С другом/подругой","5","Реже одного раза в год","4","Найти жилье по удобной цене","4"
"2024/11/04 11:32:41 AM GMT+5","Аренда","Студент","Через друзей","3","С другом/подругой","5","Реже одного раза в год","5","Найти надежных людей","5"
"2024/11/04 11:33:40 AM GMT+5","Квартира","Студент","Через друзей","3","С другом/подругой","3","Реже одного раза в год","3","Найти жилье по удобной цене","4"
"2024/11/04 11:35:41 AM GMT+5","Квартира","Студент","Через друзей","5","С другом/подругой","5","Каждый год","1","Найти надежных людей","4"
"2024/11/04 11:39:00 AM GMT+5","Квартира","Студент","Через социальные сети","3","С семьей","2","Реже одного раза в год","4","Найти жилье по удобной цене","2"
"2024/11/04 11:39:14 AM GMT+5","Квартира","Студент","Через друзей","5","С другом/подругой","4","Очень часто","4","Найти жилье по удобной цене","4"
"2024/11/04 11:40:57 AM GMT+5","Квартира","Студент","Через друзей","3","С другом/подругой","4","Каждые полгода","3","Найти жилье по удобной цене","5"
"2024/11/04 11:41:35 AM GMT+5","Квартира","Студент","Через друзей","3","С другом/подругой","4","Реже одного раза в год","4","Найти надежных людей","4"
"2024/11/04 11:43:38 AM GMT+5","Квартира","Студент","Через друзей","3","С семьей","4","Реже одного раза в год","3","Найти жилье по удобной цене","3"
"2024/11/04 11:43:50 AM GMT+5","Квартира","Студент","Через друзей","2","С другом/подругой","1","Реже одного раза в год","1","Найти жилье по удобной цене","1"
"2024/11/04 11:44:06 AM GMT+5","Квартира","Студент","Через социальные сети","3","С семьей","5","Реже одного раза в год","3","Найти жилье по удобной цене","1"
"2024/11/04 11:44:25 AM GMT+5","Собственный дом","Работник","Через друзей","5","С семьей","3","Реже одного раза в год","4","Найти надежных людей","3"
"2024/11/04 11:45:04 AM GMT+5","Квартира","Студент","Через друзей","1","С другом/подругой","2","Каждый год","2","Найти надежных людей","3"
"2024/11/04 11:45:39 AM GMT+5","Общежитие","Студент","Через друзей","4","С другом/подругой","4","Очень часто","4","Найти жилье по удобной цене","4"
"2024/11/04 11:46:40 AM GMT+5","Общежитие","Студент","Через друзей","5","С другом/подругой","5","Очень часто","4","Найти надежных людей","5"
"2024/11/04 11:48:15 AM GMT+5","Квартира","Студент","Через друзей","5","С другом/подругой","5","Реже одного раза в год","5","Найти жилье по удобной цене","5"
"2024/11/04 11:49:14 AM GMT+5","Квартира","Работник","Через друзей","3","С семьей","4","Реже одного раза в год","3","Найти жилье по удобной цене","5"
"2024/11/04 11:51:25 AM GMT+5","Собственный дом","Студент","Через друзей","5","Один(а)","4","Каждый год","5","Найти жилье по удобной цене","5"
"2024/11/04 11:53:17 AM GMT+5","Аренда","Студент","Через друзей","4","С другом/подругой","5","Каждый год","5","Найти жилье по удобной цене","5"
"2024/11/04 11:53:50 AM GMT+5","Аренда","Студент","Через друзей","4","Один(а)","3","Каждый год","4","Найти надежных людей","5"
"2024/11/04 11:56:33 AM GMT+5","Квартира","Студент","Через друзей","3","С семьей","3","Каждый год","3","Найти жилье по удобной цене","3"
